timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
4/24/2017,47.22,47.98,46.63,46.75,45.9788,11843609,46.118
4/21/2017,47.15,47.66,46.78,47.06,46.2837,13268858,47.38
4/20/2017,47.82,48.26,47.58,47.69,46.9033,6424255,46.82
4/19/2017,48.73,48.84,47.15,47.43,46.6476,9432827,47.55
4/18/2017,48.47,48.95,48.29,48.53,47.7295,4703299,47.22
4/17/2017,48.38,48.85,48.24,48.84,48.0343,5248969,47.98
4/13/2017,49.19,49.42,48.18,48.38,47.5819,6762440,47.66
4/12/2017,50,50.23,49.15,49.33,48.5163,7357972,48.26
4/11/2017,49.97,50.02,49.085,50.01,49.185,6766851,48.84
4/10/2017,49.94,50.23,49.75,49.97,49.1457,5588115,48.95
4/7/2017,50.33,50.5,49.5,49.68,48.8605,6211456,48.85
4/6/2017,50.2,50.45,49.8613,50.15,49.3227,5773233,49.42
4/5/2017,50.25,51.2599,49.82,49.85,49.0277,12281873,50.23
4/4/2017,49.3,49.69,48.7607,49.55,48.7326,6288801,50.02
4/3/2017,49.46,49.66,48.81,49.28,48.4671,6870682,50.23
3/31/2017,49.02,49.52,48.91,49.21,48.3982,6392574,50.5
3/30/2017,49.76,49.82,48.65,49.02,48.2114,11840212,50.45
3/29/2017,48,49.515,47.96,49.22,48.4081,10831220,51.2599
3/28/2017,47.92,48.265,47.55,48.02,47.2279,10599574,49.69
3/27/2017,48.6,48.77,47.52,47.78,46.9918,14193715,49.66
3/24/2017,49.2,50.62,49.19,49.41,48.5949,9607359,49.52
3/23/2017,49.74,50.16,49.43,49.71,48.89,5620703,49.82
3/22/2017,49.87,50.31,49.36,49.83,49.008,7544858,49.515
3/21/2017,51.11,51.26,49.815,50.15,49.3227,7672975,48.265
3/20/2017,50.36,50.825,49.84,50.64,49.8046,7763223,48.77
3/17/2017,51.15,51.47,50.59,50.78,49.9423,8131399,50.62
3/16/2017,51.65,51.83,50.81,50.92,50.08,7336031,50.16
